,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
4551,Cafe Himalaya,Chinese,North Indian,Biryani,High
4552,Highway Bar & Restaurant,Chinese,North Indian,Seafood,High
4553,Janta Family Restaurant,Chinese,North Indian,South Indian,High
4554,Chakra,North Indian,Chinese,Seafood,High
4555,Dream Residency,North Indian,Seafood,Chinese,High
4556,Right Choice Restaurant & Bar,North Indian,Chinese,,High
4557,Hotel Swagat,North Indian,Chinese,,High
4558,Sanju Ice Cream,Desserts,Beverages,,Low
4560,Flavours - 1,Chinese,,,High
4561,Night Veg Vrindavan,North Indian,Chinese,,High
4562,China Suburb-1,Chinese,North Indian,,High
4563,Baba Bar & Restaurant,North Indian,Chinese,Malwani,High
4564,Swastik Restaurant & Bar,Mughlai,North Indian,Chinese,Low
4565,Lalit Family Restaurant & Bar,Chinese,North Indian,,High
4566,Satkar Bar & Restaurant,North Indian,Mughlai,Chinese,High
4567,Krishna Lunch Home,North Indian,Chinese,South Indian,High
4568,Rasika Restaurant & Bar,Chinese,North Indian,,High
4569,Swarajya Lunch Home,North Indian,Chinese,Malwani,High
4570,Sandhya Restaurant & Bar,North Indian,Chinese,,High
4571,Oven Crust,Italian,Fast Food,Pizza,High
4572,Panda Xpress - Taste Of Asia,Chinese,,,Low
4573,Vinanjay,Chinese,South Indian,North Indian,High
4574,Spices Kitchen,Chinese,North Indian,Mughlai,High
4576,Nandu Chinese And Tandoori Corner,Chinese,,,Low
4577,Amantran Kitchen & Bar,North Indian,Mughlai,Malwani,High
4578,Chetan Punjab,North Indian,Chinese,Seafood,High
4579,Hotel Fountain,Chinese,North Indian,,High
4580,Classic Restaurant & Bar,North Indian,Chinese,Seafood,High
4581,Global Malvani,Malwani,Biryani,South Indian,High
4582,North East Kitchen,Healthy Food,North Eastern,Chinese,High
4583,Jassi Da Paratha,North Indian,,,Low
4584,Starters & Tandoori,North Indian,Chinese,,High
4585,Ekveera Dhaba,North Indian,,,Low
4586,Jai Malhar,Fast Food,,,Low
4587,Chilli Pistols,Chinese,Mughlai,,Low
4588,Pop-Up Hut,Desserts,,,Low
4589,Sai Pride,Chinese,North Indian,,High
4590,Gopal Krishna Hotel,North Indian,Chinese,,Low
4592,Hotel Sairaj,North Indian,Chinese,Seafood,High
4593,Shubham Restaurant & Bar,North Indian,Chinese,Mughlai,High
4594,Jyoti Bar & Restaurant,North Indian,Chinese,Seafood,High
4595,Pop-Up Hut,Desserts,,,Low
4596,Eqvity,North Indian,Chinese,Mughlai,High
4597,Royal Garden Sai Datta Hotel,North Indian,Chinese,,High
4598,Shivali Garden,Chinese,North Indian,,High
4599,Hotel Sandeep Family Restaurant & Bar,North Indian,Chinese,Seafood,High
4600,Fusion Multicuisine Restaurant,North Indian,Chinese,Continental,High
4601,Nityanand Family Restaurant & Bar,Fast Food,North Indian,Chinese,Low
4602,Vinbro Restaurant & Bar,North Indian,Chinese,,High
4603,Vishal Bar & Restaurant,North Indian,Chinese,Biryani,High
4604,Guru Prasad,North Indian,Chinese,,High
4605,Royal Treat,North Indian,Chinese,,High
4606,Bluet - More Than A Café,North Indian,Italian,Pizza,High
4608,Fusion Multicuisine Restaurant,North Indian,Chinese,Continental,High
4609,Nityanand Family Restaurant & Bar,Fast Food,North Indian,Chinese,Low
4610,Vinbro Restaurant & Bar,North Indian,Chinese,,High
4611,Milan Punjab,North Indian,Mangalorean,Seafood,High
4612,Amrut Punjab,North Indian,Chinese,Seafood,High
4613,Asha Bar & Restaurant,Chinese,North Indian,Konkan,High
4614,Indulge By Innerchef,Desserts,Bakery,,Low
4615,Laddu Seth Hotel,North Indian,Fast Food,Chinese,High
4616,Frank You Express,Cafe,Mexican,Italian,High
4617,Natural Fresh Icecream,Desserts,Ice Cream,,Low
4618,Yumyumdilli,North Indian,Desserts,Beverages,High
4619,Masala Wok,North Indian,Chinese,,Low
4620,Pippo Food Service,Desserts,Chinese,,Low
4621,Try Once,North Indian,Chinese,,High
4622,Sai Krupa,South Indian,North Indian,Chinese,Low
4624,China Gate,Chinese,Thai,Continental,High
4625,Peppr Pinch,Mughlai,North Indian,Lebanese,High
4626,Foodsapp,Fast Food,Pizza,Burger,Low
4627,Jade Raven Family Restro & Bar,Chinese,Mughlai,Continental,High
4628,Deluxe Corner,North Indian,Chinese,,Low
4629,Mahalaxmi Services Juice Centre,Juices,Beverages,,Low
4630,Splitsvilla Bar & Lounge,Chinese,Italian,Continental,High
4631,The Hungry Pirates Chinese Cuisine,Chinese,Momos,,High
4632,Sarovar Pure Veg,South Indian,North Indian,Chinese,High
4633,Hungerzaade,Chinese,Fast Food,Rolls,Low
4634,Jade Buddha'S Pub N Kitchen,Asian,Chinese,Japanese,High
4635,The Public Co.,Continental,Asian,Beverages,High
4636,Vilayati,European,,,High
4637,Belovi De Café,Cafe,Beverages,Healthy Food,High
4638,Cafe Alif,Chinese,North Indian,Mughlai,High
4640,Desitarian,North Indian,Biryani,Chinese,Low
4641,Monkey King,North Indian,Chinese,Mughlai,High
4642,Foreign Café,American,Italian,Continental,High
4643,Vishal Bar & Restaurant,North Indian,Chinese,Biryani,High
4644,Order Order,Fast Food,Italian,,Low
4645,Global Fine Dine,Chinese,Mughlai,Malwani,High
4646,Sethi'S,North Indian,Hyderabadi,,High
4647,Hotel 7 Star,North Indian,Mughlai,Seafood,High
4648,Cool Spot,Ice Cream,Beverages,,Low
4649,Curry Theory,North Indian,Chinese,,High
4650,Navab'S,Mughlai,,,High
4651,Shakes N Snacks,Beverages,Fast Food,,Low
4652,Hungers Corner,Chinese,,,Low
4653,Diwan Khaana,Chinese,North Indian,,High
4654,T F Cakes,Bakery,Desserts,,Low
4656,M'Spice,Chinese,,,Low
4657,Togo - Try One Get One,North Indian,Chinese,,High
4658,Shawarma Authentic,Rolls,Burger,Pizza,Low
4659,New York Chicken Rice Co,American,,,Low
4660,Chaap & Momos,Street Food,Momos,,Low
4661,Gib'S Kitchen,Chinese,,,High
4662,Online Chachu,Fast Food,Pizza,Rolls,Low
4663,Bluet - More Than A Café,North Indian,Italian,Pizza,High
4664,Let'S Eat,Italian,Pizza,Burger,Low
4665,Mumbai Dhaba,Chinese,North Indian,,High
4666,Noodle Bistro,Chinese,,,High
4667,Nityanand,Chinese,North Indian,,High
4668,Bread Bites,Fast Food,Beverages,,Low
4669,Desi Box,North Indian,Biryani,Rolls,Low
4670,Creamy Heaven,Ice Cream,,,Low
4672,Chatpata Kitchen,Rolls,Fast Food,,Low
4673,Parleshwar Vadapav Samrat,Fast Food,,,Low
4674,Royal Sea Food,Seafood,North Indian,,High
4675,Taste Of Nawab,North Indian,,,Low
4676,Mr.Egg,South Indian,North Indian,Chinese,Low
4677,Sawantwadi Lunch Home,North Indian,Seafood,,High
4678,Wine N Dine,Seafood,North Indian,Chinese,High
4679,Family Point Restaurant & Bar,North Indian,Mughlai,Chinese,High
4680,Hungry Stomach,Chinese,,,Low
4681,Pooja Snacks Bar,South Indian,Street Food,,Low
4682,Hotel China Town,Chinese,,,High
4683,New Shiv Sagar,Fast Food,North Indian,South Indian,High
4684,Katta Misal House,Maharashtrian,Street Food,,Low
4685,Kamdar Sweets,Mithai,,,Low
4686,Chang Bhal,North Indian,Seafood,Chinese,Low
4688,Chang Bhal,North Indian,Seafood,Chinese,Low
4689,Swastik Lunch Home,North Indian,Chinese,Seafood,High
4690,Hotel Pushpvihar,South Indian,Street Food,,Low
4691,Saptami Express - Holiday Inn,Fast Food,Bakery,,High
4692,Pushparaj,Chinese,North Indian,Seafood,High
4693,Sahyadri,Chinese,North Indian,Seafood,High
4694,Bharati,South Indian,North Indian,Chinese,Low
4695,Debnath Chinese Food,Chinese,Seafood,,Low
4696,Shanti,Chinese,Street Food,North Indian,Low
4697,Prasadam Pure Veg Restaurant,North Indian,Chinese,South Indian,High
4698,Ramdev Pure Veg,North Indian,Chinese,South Indian,High
4699,Saikripa Veg,North Indian,South Indian,Fast Food,High
4700,All Seasons,North Indian,Chinese,Biryani,High
4701,Chop 'S' Tick,Chinese,Seafood,,High
4702,Mayra'S Kitchen,Chinese,,,Low
4704,Virgin Street Cafe,Cafe,,,Low
4705,Heerson,Mithai,,,Low
4706,Mirch Masala,North Indian,Chinese,Seafood,High
4707,Circuit Sandwich Centre,Fast Food,,,Low
4708,Cafe Garden,Street Food,North Indian,,Low
4709,Sanjay Sandwich Centre,Fast Food,,,Low
4710,Ratna Family Restaurant & Bar,North Indian,Chinese,Mughlai,High
4711,Udupi Fish Land,Chinese,Fast Food,North Indian,High
4712,Special Tea House,South Indian,North Indian,Chinese,Low
4713,Marwaadi,Rajasthani,,,Low
4714,Mamledar Misal,Maharashtrian,,,Low
4715,Hot N Spicy,Chinese,,,Low
4716,Hotel Shree Prabhu Niketan,North Indian,Chinese,South Indian,High
4717,Delhi Dine Restaurant,Chinese,North Indian,Mughlai,High
4718,Hotel Radhakrishna,Chinese,North Indian,Fast Food,High
4720,Food Tales,Fast Food,Beverages,,Low
4721,The Yellow Cup,Cafe,Healthy Food,Salad,High
4722,U Juice & Salad Bar,Juices,Healthy Food,,Low
4723,Asian Spice,Seafood,North Indian,Chinese,High
4724,Karan'S Koliwada,North Indian,Chinese,,High
4725,Yashraj Da Dhaba,North Indian,Chinese,Seafood,Low
4726,Le Dolce Pasticceria,Bakery,Desserts,,Low
4727,Hotel Konkan Construction,Seafood,Chinese,North Indian,Low
4728,Milk Licious,Beverages,,,Low
4729,Malhar Snacks,Chinese,Fast Food,,High
4730,Zaika Fast Food,Chinese,,,Low
4731,The Bittersweet Bakery,Bakery,Belgian,Desserts,Low
4732,Shabri,Chinese,,,Low
4733,Yewale Amruttulya,Beverages,,,Low
4734,Bhami Malvani And Koli Foods,Malwani,Chinese,,Low
4736,Aa-Cha Pot,Cafe,,,Low
4737,Katta Misal House,Maharashtrian,Street Food,,Low
4738,Hotel Mohan Punjab,Chinese,North Indian,Seafood,High
4739,Madina,South Indian,,,Low
4740,Disha'S Pizza Inn,North Indian,Chinese,Pizza,High
4741,Usmania Hotel,North Indian,Chinese,,Low
4742,Solkadhi Live,Malwani,Seafood,,High
4743,Agri Katta,North Indian,Maharashtrian,,Low
4744,Gaurav Restaurant & Bar,Chinese,North Indian,Mughlai,High
4745,Citizen Chinese,Chinese,,,Low
4746,Hotel Sahil,North Indian,Mughlai,Chinese,High
4747,Garam Masala Rest-O-Bar,Chinese,North Indian,Biryani,High
4748,Konkan Kubera,Chinese,North Indian,Seafood,High
4749,Eatalia,Italian,Pizza,,High
4750,Shanghai Roof,Chinese,,,Low
4752,Beingfit Kitchen,Healthy Food,American,Continental,High
4753,Bharat A-One Kolkata Rolls,Bengali,Fast Food,Rolls,Low
4754,Friends Chinese Hotel,North Indian,Chinese,,Low
4755,Zafire Express,North Indian,Mughlai,Biryani,High
4756,Mahalaxmi Kitchen,Chinese,,,High
4757,Faanoos Dhaba,North Indian,,,High
4758,Bamboo Spice,Chinese,North Indian,Continental,High
4759,Ashish Dining Pure Veg,North Indian,South Indian,Chinese,High
4760,Agri Katta,North Indian,Maharashtrian,,Low
4761,Solkadhi Live,Malwani,Seafood,,High
4762,Gaurav Restaurant & Bar,Chinese,North Indian,Mughlai,High
4763,Citizen Chinese,Chinese,,,Low
4764,Hotel Sahil,North Indian,Mughlai,Chinese,High
4765,Garam Masala Rest-O-Bar,Chinese,North Indian,Biryani,High
4766,'N' Cube China Town,Chinese,,,Low
4768,Spicy Chinese Corner,Chinese,,,High
4769,3 States Kitchen,North Indian,South Indian,Maharashtrian,Low
4770,Mumbai Biryani & Chinese,Biryani,Chinese,,High
4771,Pizza Street,Pizza,Fast Food,,High
4772,Rahasya,Fast Food,,,High
4773,Kitchen Mh47,North Indian,Chinese,Seafood,High
4774,Taste Of Paratha,North Indian,,,Low
4775,Sanaya'S Veg Treat,North Indian,Chinese,Fast Food,Low
4776,Bell Pepper,Chinese,Thai,North Indian,High
4777,The Spice Kitchen,North Indian,Chinese,,High
4778,Eats & Treats,Bakery,Continental,Fast Food,Low
4779,F For Fries,Fast Food,,,Low
4780,Sichuan Bistro,Chinese,Thai,Asian,High
4781,Kokan Kinara,Seafood,North Indian,Chinese,High
4782,Black Pepper,Chinese,,,High
4784,Tik Tik Tadka,Chinese,North Indian,,Low
4785,Tongue Twista,Cafe,Fast Food,,Low
4786,Jagdish Fast Food,Street Food,,,Low
4787,Saffron,Continental,North Indian,,High
4788,China East,Chinese,,,Low
4789,Coffee Fries & Gossips,American,Cafe,Italian,Low
4790,Brick Oven,Fast Food,,,Low
4791,Veg Lord,Chinese,North Indian,Street Food,High
4792,Santosh Juice Centre,Juices,,,Low
4793,Faanoos Dhaba,North Indian,,,High
4794,Mahalaxmi Kitchen,Chinese,,,High
4795,Mukta'S Cakes,Desserts,Bakery,,Low
4796,Tea Post,Fast Food,Tea,Beverages,Low
4797,Italian Pizzeria,Fast Food,,,High
4798,Sheikh Chilli'S,Seafood,Chinese,Asian,High
4800,Sukh Sagar,Fast Food,South Indian,,Low
4801,Hotel Ashish,North Indian,Chinese,Mughlai,High
4802,Guilt Trip,Desserts,,,High
4803,The Peking Tom,Chinese,Thai,Seafood,High
4804,Not Justa Cafe,North Indian,Mexican,Chinese,High
4805,Burrraahh,North Indian,Biryani,,High
4806,Night Owl,Chinese,Rolls,Asian,High
4807,Namaskar Nx,Malwani,North Indian,Chinese,High
4808,Food24 By Niteappetite,Chinese,North Indian,Healthy Food,High
4809,Lmnopq Asian Kitchen,Thai,Asian,Chinese,High
4810,Lsd - Love Sugar & Dough,Bakery,Desserts,Ice Cream,High
4811,The Joy Pizzateria,Pizza,,,High
4812,Chinese Zone,Chinese,Fast Food,,Low
4813,Ohh!!Dilli,North Indian,Street Food,,Low
4814,Stewpot,North Indian,Chinese,Thai,Low
4816,Mulino'S,Chinese,North Indian,,High
4817,Raju'S Malvani Mejwan,Fast Food,Malwani,,Low
4818,The Kuku'S Bake Shop,Fast Food,Bakery,,Low
4819,Parsi Bakery,Bakery,Fast Food,Desserts,Low
4820,Cakes & Things,Bakery,Desserts,,Low
4821,Zafire Express,North Indian,Mughlai,Biryani,High
4822,Beingfit Kitchen,Healthy Food,American,Continental,High
4823,Mithaas,Mithai,,,High
4824,Street Foods By Punjab Grill,Street Food,North Indian,Chinese,High
4825,New Global Chinese,North Indian,Chinese,,Low
4826,Jay Bholenath Fast Food,Fast Food,Street Food,,Low
4827,The Rasoi,North Indian,Chinese,,High
4828,Ceremonial,Chinese,North Indian,Fast Food,High
4829,Food Chowki,Chinese,,,Low
4830,Creamy And Spicy The Cake Shop,Desserts,Bakery,,Low
4832,Powaikar'S Cafe & Restaurant,North Indian,Chinese,Malwani,Low
4833,Keralight,South Indian,,,Low
4834,The Burger,Burger,Beverages,,Low
4835,Juice Platz,Beverages,,,Low
4836,Aaswad,Maharashtrian,,,Low
4837,Chineezza,Chinese,,,Low
4838,Sudha Veg Restaurant,Chinese,Fast Food,,Low
4839,Rossie Bruno Cafe,North Indian,Chinese,,Low
4840,Dreamland Cuisine,Fast Food,,,Low
4841,Chavan Tiffin Services,North Indian,South Indian,,Low
4842,Food Magic,Fast Food,Beverages,Rolls,Low
4843,Facebook Fast Food,Fast Food,Chinese,,Low
4844,Pizza Culture,Pizza,Italian,,Low
4845,King Chillies,Chinese,Fast Food,North Indian,Low
4846,Taste Of Nawab,North Indian,,,Low
4848,Creamy Nuts,Desserts,Fast Food,,Low
4849,Hotel Rankala,North Indian,,,High
4850,Sheetal Ice Cream & Fast Food,Chinese,North Indian,,Low
4851,Saish Chinese Corner,Chinese,,,Low
4852,Bharat A-One Kolkata Rolls,Rolls,Bengali,Wraps,Low
4853,5 Spices Kitchen,North Indian,Chinese,,Low
4854,Ree Food'S,Fast Food,,,Low
4855,Live It Up - Kitchen,Continental,Seafood,Italian,High
4856,Mr  Rolls,Fast Food,,,Low
4857,Chawla Di Rasoi,North Indian,Chinese,Mughlai,Low
4858,Naz Baker'S,Bakery,Burger,Chinese,Low
4859,Thee Confectionery,Desserts,Bakery,,High
4860,3 Idiots Pizza Restaurant,Pizza,Fast Food,,High
4861,Malhaar Family Restaurant,North Indian,Mughlai,Chinese,High
4862,Bamboo Spice,Chinese,North Indian,Continental,High
4864,Milk Licious,Beverages,,,Low
4865,Sheetal Ice Cream & Fast Food,Chinese,North Indian,,Low
4866,Chavan Tiffin Services,North Indian,South Indian,,Low
4867,Saish Chinese Corner,Chinese,,,Low
4868,Malhar Snacks,Chinese,Fast Food,,High
4869,Zaika Fast Food,Chinese,,,Low
4870,Parsi Bakery,Bakery,Fast Food,Desserts,Low
4871,The Bittersweet Bakery,Bakery,Belgian,Desserts,Low
4872,Chineezza,Chinese,,,Low
4873,Food Magic,Fast Food,Beverages,Rolls,Low
4874,Pizza Culture,Pizza,Italian,,Low
4875,King Chillies,Chinese,Fast Food,North Indian,Low
4876,Facebook Fast Food,Fast Food,Chinese,,Low
4877,Bihari Snacks,North Indian,,,Low
4878,Shabri,Chinese,,,Low
4880,Bihari Snacks,North Indian,,,Low
4881,Kolhapuri Mejwani,Maharashtrian,,,Low
4882,Khaana Khazana,Chinese,North Indian,,High
4883,Tandoori Drama,Lucknowi,North Indian,Mughlai,High
4884,Monsoon - The Chaat Corner,Fast Food,Street Food,South Indian,Low
4885,'N' Cube China Town,Chinese,,,Low
4886,Housefull,Chinese,North Indian,,High
4887,Sai Deep Restaurant & Bar,Chinese,North Indian,,High
4888,Jain Biscuit Centre,Mithai,Fast Food,,High
4889,Cheese Buddy Mast,Mexican,Italian,,Low
4890,Pilu'S Chinese Corner,Chinese,,,Low
4891,Standard Chinese,Chinese,,,Low
4892,Hotel Sigdi,Biryani,Chinese,Fast Food,High
4893,Passion Bakery N Choco'S Cake Shop,Bakery,,,Low
4894,Cotton King Restaurant,North Indian,,,Low
4896,Shanghai Fast Food Corner,Chinese,,,High
4897,N'Joy Snacks & Chinese,Chinese,Fast Food,,Low
4898,Snowbirds,Ice Cream,,,Low
4899,New Karachi Sweets,Mithai,,,Low
4900,Rite On Coal,North Indian,Seafood,Chinese,High
4901,Red Chilly'S,Chinese,,,Low
4902,Hotel Mansi,Maharashtrian,,,Low
4903,Prabhat Super Market,Street Food,,,Low
4904,Hotel Rajmahal,Chinese,Fast Food,North Indian,Low
4905,J.K. Red Corner,Chinese,North Indian,Seafood,High
4906,Swagat Dining Bar,Seafood,North Indian,Chinese,High
4907,Star Restaurant,North Indian,Chinese,Mughlai,High
4908,Banana Leaf,South Indian,,,Low
4909,Lucky Snacks,Gujarati,Street Food,,Low
4910,Dazzle,Asian,Chinese,,High
4912,Hotel Prasadam,Street Food,North Indian,South Indian,High
4913,Galaxy Veg Treat,North Indian,Chinese,Biryani,High
4914,Afzal Sweets,Desserts,Bakery,Mithai,Low
4915,Hotel Yamuna,North Indian,Seafood,Chinese,High
4916,Bake'S House,Bakery,Fast Food,,Low
4917,Sahani Tandoori Corner,North Indian,Seafood,,Low
4918,Hotel Panchratna,Chinese,North Indian,,Low
4919,Hotel Shangeeni,North Indian,Biryani,Chinese,High
4920,The Foody,North Indian,,,Low
4921,Kulfi Village,Ice Cream,,,Low
4922,The Food Street,Italian,Fast Food,Beverages,High
4923,Bhavani Sweets,Mithai,Street Food,,Low
4924,Modern Lunch Home,North Indian,Chinese,Seafood,Low
4925,Kulaba Spice,North Indian,Chinese,,High
4926,Kokan Katta,North Indian,Chinese,Malwani,Low
4928,Assal Tandoori Chai,Tea,Fast Food,,Low
4929,Utsav Restaurant & Bar,North Indian,Chinese,,High
4930,National Punjab,Chinese,Mughlai,Seafood,High
4931,Krazzy Kabab'S,North Indian,Kebab,Chinese,Low
4932,Frozen Cafe,Desserts,Beverages,,Low
4933,Hotel Shivraj,North Indian,Chinese,Seafood,High
4934,Sai Krishna,Fast Food,North Indian,South Indian,High
4935,Jhanvi Food Market,North Indian,Chinese,,Low
4936,Jalsa Snax By Nanumal Bhojraaj,Street Food,Biryani,South Indian,Low
4937,Edneel Kitchenette,Lebanese,Biryani,Fast Food,Low
4938,Shiv Sai Hotel,Chinese,North Indian,,Low
4939,Cafe Firdos,North Indian,Chinese,Beverages,High
4940,The Pan'S Magic,Bakery,,,Low
4941,Hotel Yuvraj Garden,North Indian,Chinese,,High
4942,Just Falafel,Mediterranean,,,High
4944,The Green Circle,North Indian,Chinese,Italian,Low
4945,Shawarma Cafe,Rolls,Beverages,Ice Cream,Low
4946,Mahakali Snacks,South Indian,Street Food,,Low
4947,The Bn,Fast Food,,,Low
4948,Baker'S Delight,Bakery,Fast Food,,Low
4949,Hot & Spicy,Momos,,,Low
4950,Sunder Veg Restaurant,North Indian,South Indian,Chinese,High
4951,Ketki Restaurant,North Indian,South Indian,Chinese,Low
4952,Saibaa Veg Treat,North Indian,South Indian,Chinese,High
4953,Gold Coins Restaurant,North Indian,Chinese,Mughlai,High
4954,Biryani Mall,North Indian,Chinese,Fast Food,High
4955,Desire,Chinese,Thai,,High
4956,Car Oh Bar,Chinese,North Indian,Mughlai,High
4957,Mumbai Paratha King,North Indian,,,Low
4958,Chaw Mow,Chinese,Seafood,,Low
4960,Padharo,Mithai,,,Low
4961,Biryani House,Biryani,Lebanese,,High
4962,Desh Videsh,Street Food,South Indian,Chinese,Low
4963,Sugar Lipss,Bakery,,,High
4964,Aishwarya Lunch Home,North Indian,Chinese,,High
4965,Indo Oriental Lounge,North Indian,Chinese,Thai,High
4966,The Kolkata Kitchen,Bengali,Mughlai,Chinese,Low
4967,Praja Snacks,Chinese,North Indian,Malwani,High
4968,Hotel Gurudatta Misal,Maharashtrian,,,Low
4969,Eat Innovations,North Indian,Chinese,,High
4970,Khaana Peena,North Indian,Mughlai,,High
4971,Joy'S Burger,Burger,Fast Food,,Low
4972,Mahalaxmi Juice Centre,Juices,,,Low
4973,Foodbox- The Official,North Indian,,,Low
4974,Toujours,Bakery,Desserts,,Low
4976,Oasiss Desserts,Desserts,Ice Cream,,Low
4977,Chawlas²,North Indian,,,High
4978,Cheesiano Pizza,Pizza,,,High
4979,Rakesh Da Dhaba,North Indian,,,Low
4980,J.J Jalebi,Mithai,Desserts,,Low
4981,The Yellow Tadka,North Indian,Chinese,Continental,High
4982,Ratnagiri Malvani Food,Chinese,Malwani,Seafood,High
4983,Gondola,Chinese,Continental,Seafood,High
4984,Fat Choy,Asian,Chinese,Thai,High
4985,Leavessence,Desserts,,,Low
4986,Kbn Kitchens,Awadhi,,,High
4987,Brain Freeze Ice Cream & Desserts,Ice Cream,Desserts,,Low
4988,Baikoz,Seafood,Hyderabadi,North Indian,High
4989,Cafe Katta,Fast Food,Pizza,Rolls,Low
4990,Oc-The Oriental Cuisine,Asian,Thai,Chinese,High
4992,Liquids - Evershine Club,Chinese,North Indian,,High
4993,Yes I Dough,Bakery,Desserts,,High
4994,Ulta Pizza,Pizza,Fast Food,,Low
4995,Chakh Le Lucknow,North Indian,Lucknowi,Mughlai,High
4996,The Fit Spoon,Healthy Food,Salad,,High
4997,Sonu Chinese Corner,Chinese,Seafood,,High
4998,The Shivaay,Chinese,North Indian,South Indian,High
4999,Deeksha,North Indian,South Indian,Pizza,High
5000,Wrappy Affairs,Fast Food,,,Low
5001,The Naka,South Indian,American,Mexican,Low
5002,The Turmeric Tree,North Indian,Mughlai,Fast Food,Low
5003,Blue Shard Bistro,Cafe,Continental,,Low
5004,Swaad Fast Food,Chinese,Fast Food,,Low
5005,Luck ९ Kebab & Roti,Awadhi,North Indian,,High
5006,Da'Caar Jumbo Wraps,Fast Food,,,Low
5008,Simla Canteen,North Indian,South Indian,Fast Food,Low
5009,Samudra,North Indian,Kebab,Fast Food,High
5010,Biryani King,Biryani,Fast Food,,Low
5011,V Cafe,Fast Food,Beverages,Desserts,High
5012,Foodex,Chinese,Mughlai,North Indian,High
5013,Oriental Spice,North Indian,Chinese,,High
5014,Lovely Veg & Chinese Corner,Chinese,,,Low
5015,Kokan Palace,Chinese,North Indian,,High
5016,Fresh Meals,North Indian,Chinese,,Low
5017,Food Fusion Bistro,North Indian,Chinese,Italian,Low
5018,Little Cherry,Bakery,,,Low
5019,Casrod Darbar,Biryani,Chinese,Mughlai,Low
5020,Freshyumms,Salad,Healthy Food,Fast Food,Low
5021,Yummy Juice,Fast Food,Beverages,,Low
5022,Sai Leela Chinese Restaurant,Chinese,Seafood,,Low
5024,Afc,Chinese,,,Low
5025,Loving Paratha & Roll,North Indian,Rolls,,Low
5026,The Green Garden,Chinese,Mughlai,North Indian,High
5027,Happy Foods,North Indian,Chinese,Seafood,Low
5028,Foodies Kitchen,North Indian,Chinese,,High
5029,The Dessert Story,Desserts,Bakery,Ice Cream,Low
5030,Siddhivinayak Tiffin,North Indian,,,Low
5031,Mughlai Zaika,Mughlai,,,Low
5032,Rollacosta,Burger,Fast Food,Italian,High
5033,Fusion Ice Cream Cakes And Sundaes,Bakery,Desserts,Ice Cream,Low
5034,Das Veg Treat,North Indian,South Indian,Street Food,High
5035,Royal Rolls,Fast Food,Rolls,,Low
5036,J.K. Red Corner,Chinese,North Indian,Seafood,High
5037,Felicidad Cafe,Cafe,Desserts,,Low
5038,Balaji Veg Treat,North Indian,Maharashtrian,,High
5040,Hotel Rajmahal,Chinese,Fast Food,North Indian,Low
5041,Carnivore,Chinese,North Indian,Mughlai,High
5042,Utsav Momo Cafe,Momos,Chinese,Rolls,Low
5043,Giggle N Grills,Pizza,Sandwich,Fast Food,Low
5044,Jay Malhar,Maharashtrian,Malwani,Konkan,Low
5045,Spice 27,North Indian,Chinese,Continental,High
5046,Eggsplore,Fast Food,,,Low
5047,Gulmurg - The Shalimar Hotel,North Indian,Fast Food,Continental,High
5048,Mega Cafe,Fast Food,Healthy Food,Beverages,High
5049,Hotel Kolhapur Darbar,Maharashtrian,,,High
5050,Shahana Caterers,Biryani,North Indian,,Low
5051,Eat2Shred Meals,Healthy Food,,,High
5052,Kirti Mahal,South Indian,North Indian,Chinese,High
5053,Quantikit,North Indian,Biryani,,High
5054,Wake Cup Cafe,Cafe,Fast Food,,Low
5056,Moods Of Maggie,Fast Food,,,Low
5057,Shree Krishna Restaurant,Chinese,,,High
5058,Royal Rajbhog,North Indian,,,Low
5059,Nimantran,Gujarati,,,High
5060,Veg World,North Indian,South Indian,Chinese,High
5061,Casa Luka,Continental,,,High
5062,Lazeez Garden,North Indian,Chinese,Seafood,High
5063,Rashmin The Mithai Shop,Mithai,Street Food,,Low
5064,Chinaar,Chinese,North Indian,Mughlai,High
5065,Hotel Samrat,North Indian,Chinese,Street Food,High
5066,Surti,North Indian,South Indian,Chinese,Low
5067,New Sunrise Restaurant,South Indian,North Indian,Chinese,High
5068,Santosham,Chinese,Fast Food,North Indian,High
5069,Golden Fork Restaurant,Chinese,Seafood,Thai,High
5070,Atithee Restaurant,Chinese,North Indian,Mughlai,High
5072,Atithee Restaurant,Chinese,North Indian,Mughlai,High
5073,Ankit Chinese Dine,Chinese,,,Low
5074,Famous Sharma Kulfi Centre,Desserts,Ice Cream,,Low
5075,Vikas Family Restaurant,Chinese,,,Low
5076,Cocoatease!,Bakery,Desserts,,Low
5077,Cafe Bollywood,Street Food,Fast Food,South Indian,Low
5078,Hotel Swad,North Indian,South Indian,Chinese,Low
5079,Bake For Me,Bakery,,,Low
5080,Sai Prasad,North Indian,Maharashtrian,,Low
5081,New Mini Punjab Restaurant,Chinese,North Indian,,High
5082,Ssk,Rajasthani,North Indian,Chinese,High
5083,Thodi Si Pait Pooja,Fast Food,South Indian,,Low
5084,Khai Dim,Assamese,,,High
5085,Hotel Parijat,North Indian,Chinese,Malwani,High
5086,Ramnath Damodar Sandwich,Fast Food,,,Low
5088,Milan Punjab,Mughlai,North Indian,Beverages,High
5089,Bellpepper,Fast Food,,,High
