,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
9808,Hotel Saraswati,North Indian,South Indian,Chinese,Low
9809,Shree Krishna Fast Food,Chinese,,,Low
9810,9 Spice,Chinese,North Indian,Fast Food,Low
9811,China Camp Fast Food,Chinese,,,Low
9812,Meridian,North Indian,Chinese,Fast Food,High
9813,Udipi Shree Krishna,South Indian,North Indian,,Low
9814,A-1 Fast Food Corner,Chinese,,,Low
9815,Cafe Krishna,South Indian,North Indian,Chinese,High
9816,Jyoti Bar Restaurant,North Indian,Chinese,Biryani,High
9817,Rajesh Restaurant & Bar,North Indian,Chinese,Malwani,Low
9818,Hotel Uma,North Indian,South Indian,Chinese,Low
9819,Pingara,North Indian,Chinese,Seafood,High
9820,Hotel Vasanth,North Indian,Chinese,South Indian,High
9821,Adarsh,North Indian,Chinese,Mughlai,High
9822,Poornima Restaurant,North Indian,Chinese,,Low
9824,Frozenoven,Bakery,,,Low
9825,A Food Affair,Fast Food,Pizza,,High
9826,Cornucopia,Healthy Food,Salad,Desserts,Low
9827,Tambora,North Indian,Chinese,,High
9828,Juice N Bloom Co,Fast Food,,,High
9829,Krisp N Cool,Fast Food,,,High
9830,Kaka'S Katta,South Indian,Fast Food,,Low
9831,Dips Don'T Lie,Fast Food,,,High
9832,Jyoti Lunch Home,North Indian,South Indian,Chinese,Low
9833,The Great Maratha,North Indian,Malwani,,High
9834,Appetite,Chinese,Continental,,Low
9835,Durga Prasad,Chinese,,,Low
9836,Baba Da Dhaba,North Indian,Chinese,,Low
9837,Brown Sugar,Bakery,,,Low
9838,Cafe Paradise Hotel,Chinese,North Indian,,Low
9840,Grub Spot,North Indian,Chinese,,High
9841,Moo Moo Milk™,Mithai,Beverages,,Low
9842,Kitchen Box,Chinese,Thai,,High
9843,Italian Crust,Italian,,,High
9844,Savor,Asian,European,Mediterranean,High
9845,Hungrill,Fast Food,Lebanese,,Low
9846,Nutan Nx,North Indian,Chinese,Seafood,High
9847,Appetito,Fast Food,Italian,,High
9848,Gaurav Quik Bite,Fast Food,Street Food,,Low
9849,Hotel Milan,North Indian,Chinese,,Low
9850,Indus,North Indian,,,High
9851,A Pinch Of Parsi,Parsi,,,High
9852,The Biryani Den,Mughlai,,,High
9853,Jc Treats,Bakery,,,Low
9854,Whey It Up,Bakery,Desserts,,High
9856,Caramella,Bakery,Desserts,,Low
9857,Bhawani Lunch,North Indian,,,Low
9858,Raju Sandwich Corner,Fast Food,,,Low
9859,Hotel Raj Palace,North Indian,Chinese,,High
9860,Ravioli Pizza And More,Pizza,Fast Food,,Low
9861,Naomi Miranda Bakes,Bakery,Desserts,Sandwich,Low
9862,Purohit Sweets,Mithai,,,Low
9863,Cake Of The Day,Bakery,,,Low
9864,China Town,Chinese,,,Low
9865,Sasha'S,Fast Food,Chinese,,Low
9866,Nalini Taste,Chinese,North Indian,South Indian,Low
9867,Jai Jalaram Khaman House,Street Food,,,Low
9868,Yo Brownies,Desserts,Bakery,,Low
9869,Raunak Restaurant & Bar,North Indian,Chinese,Biryani,High
9870,Karan Chinese Corner,Chinese,,,Low
9872,Pankaj Sandwich And Milk Centre,Fast Food,,,Low
9873,Shree Siddhivinayak,Fast Food,Juices,,Low
9874,Hotel Alvita,South Indian,North Indian,Chinese,High
9875,Annapurna Poli Bhaji,North Indian,Maharashtrian,,Low
9876,Bhartiya Mishthan,Mithai,Street Food,,Low
9877,Fakhri Sweets Farsan Bakery,Mithai,Bakery,,Low
9878,Shri Krishna Fast Food,Fast Food,Street Food,,Low
